Review,Review_Bersih,Review_bersih_joined,Aspek_Kategori,ganti,Sentimen,Label_Aspek,Label_Sen,Review_Bersih_NEG
Pengunjung di Candi Borobodur cukup banyak dan padat.,pengunjung candi borobodur cukup banyak padat,pengunjung candi borobodur cukup banyak padat,suasana,negatif,negatif,3,1,pengunjung candi borobodur cukup banyak padat
Banyak rombongan mahasiswa atau pelajar.,banyak rombongan mahasiswa atau pelajar,banyak rombongan mahasiswa atau pelajar,serbaneka,positif,netral,4,1,banyak rombongan mahasiswa atau pelajar
"Setelah membeli tiket yang cukup panjang antrinya, kami masuk ke area Candi.",setelah membeli tiket yang cukup panjang antrinya kami masuk area candi,setelah membeli tiket yang cukup panjang antrinya kami masuk area candi,serbaneka,negatif,negatif,4,1,setelah membeli tiket yang cukup panjang antrinya kami masuk area candi
"Untuk menuju ke Candi Borobodur, kita bisa memakai kereta, kereta kuda, mobil golf dimana kita harus membeli tiket kendaraannya di loket di dalam area Candi.",untuk menuju candi borobodur kita bisa memakai kereta kereta kuda mobil golf dimana kita harus membeli tiket kendaraannya loket dalam area candi,untuk menuju candi borobodur kita bisa memakai kereta kereta kuda mobil golf dimana kita harus membeli tiket kendaraannya loket dalam area candi,fasilitas,positif,netral,1,1,untuk menuju candi borobodur kita bisa memakai kereta kereta kuda mobil golf dimana kita harus membeli tiket kendaraannya loket dalam area candi
"Kami memilih menaiki kereta kuda dan ini merupakan pilihan yang tepat karena menikmati angin sepoi-sepoi sambil naik kereta kuda, Kusirnya pun sangat responsif.",kami memilih menaiki kereta kuda merupakan pilihan yang tepat karena menikmati angin sepoi sepoi sambil naik kereta kuda kusirnya sangat responsif,kami memilih menaiki kereta kuda merupakan pilihan yang tepat karena menikmati angin sepoi sepoi sambil naik kereta kuda kusirnya sangat responsif,fasilitas,positif,positif,1,1,kami memilih menaiki kereta kuda merupakan pilihan yang tepat karena menikmati angin sepoi sepoi sambil naik kereta kuda kusirnya sangat responsif
Beliau menyarankan tempat-tempat yang bagus untuk mengambil foto dengan latar belakang Candi Borobudur dan beliau yang mengambil fotonya.,beliau menyarankan tempat tempat yang bagus untuk mengambil foto dengan latar belakang candi borobudur beliau yang mengambil fotonya,beliau menyarankan tempat tempat yang bagus untuk mengambil foto dengan latar belakang candi borobudur beliau yang mengambil fotonya,fasilitas,positif,positif,1,1,beliau menyarankan tempat tempat yang bagus untuk mengambil foto dengan latar belakang candi borobudur beliau yang mengambil fotonya
Jadi kami 2-3 kali berhenti dan mengambil foto sebelum akhirnya sampai di Candi.,jadi kami kali berhenti mengambil foto sebelum akhirnya sampai candi,jadi kami kali berhenti mengambil foto sebelum akhirnya sampai candi,serbaneka,positif,netral,4,1,jadi kami kali berhenti mengambil foto sebelum akhirnya sampai candi
"Untuk menaikin Candi, disarankan memakai sepatu yang nyaman karena tangganya cukup curam dan padat.",untuk menaikin candi disarankan memakai sepatu yang nyaman karena tangganya cukup curam padat,untuk menaikin candi disarankan memakai sepatu yang nyaman karena tangganya cukup curam padat,serbaneka,positif,netral,4,1,untuk menaikin candi disarankan memakai sepatu yang nyaman karena tangganya cukup curam padat
di jawa tengah terdapat tempat wisata yang bagus untuk menjadi spot foto dengan alam sekitar yaitu candi borobudur yang banyak gambaran dan terdapat sejarah di candi tersebut,jawa tengah terdapat tempat wisata yang bagus untuk menjadi titik foto dengan alam sekitar yaitu candi borobudur yang banyak gambaran terdapat sejarah candi tersebut,jawa tengah terdapat tempat wisata yang bagus untuk menjadi titik foto dengan alam sekitar yaitu candi borobudur yang banyak gambaran terdapat sejarah candi tersebut,lokasi,positif,positif,2,1,jawa tengah terdapat tempat wisata yang bagus untuk menjadi titik foto dengan alam sekitar yaitu candi borobudur yang banyak gambaran terdapat sejarah candi tersebut
Menikmati perjalanan tur anda di Jogja dengan mengunjungi Candi Borobudur.,menikmati perjalanan anda jogja dengan mengunjungi candi borobudur,menikmati perjalanan anda jogja dengan mengunjungi candi borobudur,lokasi,positif,positif,2,1,menikmati perjalanan anda jogja dengan mengunjungi candi borobudur
Candi ini adalah candi yang terbesar di Indonesia.,candi adalah candi yang terbesar indonesia,candi adalah candi yang terbesar indonesia,lokasi,positif,positif,2,1,candi adalah candi yang terbesar indonesia
Banyak sekali wisatawan lokal maupun luar negeri yang datang kesini.,banyak sekali wisatawan lokal maupun luar negeri yang datang kesini,banyak sekali wisatawan lokal maupun luar negeri yang datang kesini,serbaneka,positif,netral,4,1,banyak sekali wisatawan lokal maupun luar negeri yang datang kesini
Kamu bisa juga menikmati suasana candi pada waktu yang menurutmu baik seperti Sunrise atau Sunset.,kamu bisa juga menikmati suasana candi pada waktu yang menurutmu baik seperti matahari terbit atau matahari tenggelam,kamu bisa juga menikmati suasana candi pada waktu yang menurutmu baik seperti matahari terbit atau matahari tenggelam,suasana,positif,positif,3,1,kamu bisa juga menikmati suasana candi pada waktu yang menurutmu baik seperti matahari terbit atau matahari tenggelam
"Datang ke Candi Borobudur bila kamu menginap dari Jogja, kamu tentunya membutuhkan transportasi.",datang candi borobudur bila kamu menginap dari jogja kamu tentunya membutuhkan transportasi,datang candi borobudur bila kamu menginap dari jogja kamu tentunya membutuhkan transportasi,serbaneka,positif,netral,4,1,datang candi borobudur bila kamu menginap dari jogja kamu tentunya membutuhkan transportasi
Kamu bisa menghubungi saya untuk transport ke Candi Borobudur.,kamu bisa menghubungi saya untuk transport candi borobudur,kamu bisa menghubungi saya untuk transport candi borobudur,serbaneka,positif,netral,4,1,kamu bisa menghubungi saya untuk transport candi borobudur
"Menikmati karya nenek moyang kita, sambil berjalan jalan mengikui relief yang ada, tak ada salahnya kita mengucap syukur atas karya leluhur kita ini.",menikmati karya nenek moyang kita sambil berjalan jalan mengikui relief yang tidak ada salahnya kita mengucap syukur atas karya leluhur kita,menikmati karya nenek moyang kita sambil berjalan jalan mengikui relief yang tidak_ada salahnya kita mengucap syukur atas karya leluhur kita,lokasi,positif,positif,2,1,menikmati karya nenek moyang kita sambil berjalan jalan mengikui relief yang tidak NEG_ada salahnya kita mengucap syukur atas karya leluhur kita
"Batu candi tersusun rapi, indah, cantik dan mengandung nasehat yang luhur.",batu candi tersusun rapi indah cantik mengandung nasehat yang luhur,batu candi tersusun rapi indah cantik mengandung nasehat yang luhur,lokasi,positif,positif,2,1,batu candi tersusun rapi indah cantik mengandung nasehat yang luhur
Dari sekolah dasar sampai sekarang dewasa.,dari sekolah dasar sampai sekarang dewasa,dari sekolah dasar sampai sekarang dewasa,serbaneka,positif,netral,4,1,dari sekolah dasar sampai sekarang dewasa
Kalau ke candi Borobudur selalu saja senang banget.,kalau candi borobudur selalu saja senang banget,kalau candi borobudur selalu saja senang banget,serbaneka,positif,positif,4,1,kalau candi borobudur selalu saja senang banget
"Mulai dari pintu masuk sudah ada fasilitas toilet dan mushola,Sebelum kita berjalan ke candinya.",mulai dari pintu masuk sudah fasilitas toilet mushola sebelum kita berjalan candinya,mulai dari pintu masuk sudah fasilitas toilet mushola sebelum kita berjalan candinya,fasilitas,positif,netral,1,1,mulai dari pintu masuk sudah fasilitas toilet mushola sebelum kita berjalan candinya
Setelah berjalan kiri kanan tampak indah pepohonan dan bunga.,setelah berjalan kiri kanan tampak indah pepohonan bunga,setelah berjalan kiri kanan tampak indah pepohonan bunga,suasana,positif,positif,3,1,setelah berjalan kiri kanan tampak indah pepohonan bunga
Seolah tidak terasa panasnya terik matahari.,seolah tidak terasa panasnya terik matahari,seolah tidak_terasa panasnya terik matahari,suasana,positif,positif,3,1,seolah tidak NEG_terasa panasnya terik matahari
Saking asyiknya menikmati pemandangan tau tau sudah sampai puncak.,saking asyiknya menikmati pemandangan tahu tahu sudah sampai puncak,saking asyiknya menikmati pemandangan tahu tahu sudah sampai puncak,suasana,positif,positif,3,1,saking asyiknya menikmati pemandangan tahu tahu sudah sampai puncak
Seolah olah kota Magelang dan sekitarnya kelihatan semua dari atas candi.,seolah olah kota magelang sekitarnya kelihatan semua dari atas candi,seolah olah kota magelang sekitarnya kelihatan semua dari atas candi,lokasi,positif,positif,2,1,seolah olah kota magelang sekitarnya kelihatan semua dari atas candi
Setelah kita foto2 akhirnya memutuskan untuk menuju pintu keluar disitu ada mushola juga.,setelah kita foto foto akhirnya memutuskan untuk menuju pintu keluar disitu mushola juga,setelah kita foto foto akhirnya memutuskan untuk menuju pintu keluar disitu mushola juga,fasilitas,positif,netral,1,1,setelah kita foto foto akhirnya memutuskan untuk menuju pintu keluar disitu mushola juga
Alhamdulillah ucapku.,alhamdulillah ucapku,alhamdulillah ucapku,serbaneka,positif,netral,4,1,alhamdulillah ucapku
Sambil menuju pintu keluar terdapat pedagang yang banyak banget.,sambil menuju pintu keluar terdapat pedagang yang banyak banget,sambil menuju pintu keluar terdapat pedagang yang banyak banget,fasilitas,positif,netral,1,1,sambil menuju pintu keluar terdapat pedagang yang banyak banget
Bisa memilih oleh2 yang cocok untuk keluarga.,bisa memilih oleh oleh yang cocok untuk keluarga,bisa memilih oleh oleh yang cocok untuk keluarga,fasilitas,positif,netral,1,1,bisa memilih oleh oleh yang cocok untuk keluarga
Dari dulu sampai sekarang candi Borobudur tetap indah.,dari dahulu sampai sekarang candi borobudur tetap indah,dari dahulu sampai sekarang candi borobudur tetap indah,serbaneka,positif,positif,4,1,dari dahulu sampai sekarang candi borobudur tetap indah
indah.,indah,indah,serbaneka,positif,positif,4,1,
dan indah.,indah,indah,serbaneka,positif,positif,4,1,
"Sudah tidak diragukan lagi untuk bagunan candinya Sangat menarik penuh dengan unsur kebudayaan, keagamaan dan wisata sejarah,.",sudah tidak diragukan lagi untuk bagunan candinya sangat menarik penuh dengan unsur kebudayaan keagamaan wisata sejarah,sudah tidak_diragukan lagi untuk bagunan candinya sangat menarik penuh dengan unsur kebudayaan keagamaan wisata sejarah,lokasi,positif,positif,2,1,sudah tidak NEG_diragukan lagi untuk bagunan candinya sangat menarik penuh dengan unsur kebudayaan keagamaan wisata sejarah
Banyak juga terdapat tempat sovenir untuk dibawa sebagai oleh oleh,banyak juga terdapat tempat suvenir untuk dibawa sebagai oleh oleh,banyak juga terdapat tempat suvenir untuk dibawa sebagai oleh oleh,fasilitas,positif,netral,1,1,banyak juga terdapat tempat suvenir untuk dibawa sebagai oleh oleh
"Pertama kali ke candi borobudur rasanya merupakan sesuatu yang amazing terlebih lagi buat saya pribadi bisa melihat keindahan alam yang ada di sana, apalagi view di borobudur sangat sejuk dan indah pemandangannya.",pertama kali candi borobudur rasanya merupakan sesuatu yang menakjubkan terlebih lagi buat saya pribadi bisa melihat keindahan alam yang sana apalagi pemandangan borobudur sangat sejuk indah pemandangannya,pertama kali candi borobudur rasanya merupakan sesuatu yang menakjubkan terlebih lagi buat saya pribadi bisa melihat keindahan alam yang sana apalagi pemandangan borobudur sangat sejuk indah pemandangannya,suasana,positif,positif,3,1,pertama kali candi borobudur rasanya merupakan sesuatu yang menakjubkan terlebih lagi buat saya pribadi bisa melihat keindahan alam yang sana apalagi pemandangan borobudur sangat sejuk indah pemandangannya
Saya adalah sopir di yogyakarta ke borobudur dalam rangka mengantarkan tamu rombongan dari spanyol dan sekitarnya,saya adalah sopir yogyakarta borobudur dalam rangka mengantarkan tamu rombongan dari spanyol sekitarnya,saya adalah sopir yogyakarta borobudur dalam rangka mengantarkan tamu rombongan dari spanyol sekitarnya,serbaneka,positif,netral,4,1,saya adalah sopir yogyakarta borobudur dalam rangka mengantarkan tamu rombongan dari spanyol sekitarnya
"kawasan candi yang bagus, menarik, banyak wisatawan, sangat bersih kawasannya, sejuk udaranya, baguss",kawasan candi yang bagus menarik banyak wisatawan sangat bersih kawasannya sejuk udaranya baguss,kawasan candi yang bagus menarik banyak wisatawan sangat bersih kawasannya sejuk udaranya baguss,serbaneka,positif,positif,4,1,kawasan candi yang bagus menarik banyak wisatawan sangat bersih kawasannya sejuk udaranya baguss
Akhirnya sampek juga ke Jawa Tengah.,akhirnya sampai juga jawa tengah,akhirnya sampai juga jawa tengah,serbaneka,positif,netral,4,1,akhirnya sampai juga jawa tengah
Dan Borobudur adalah salah satu tujuan utama ku.,borobudur adalah salah satu tujuan utama,borobudur adalah salah satu tujuan utama,serbaneka,positif,netral,4,1,borobudur adalah salah satu tujuan utama
Sebenarnya temen ku udh pernah ke sana.,sebenarnya teman sudah pernah sana,sebenarnya teman sudah pernah sana,serbaneka,positif,netral,4,1,sebenarnya teman sudah pernah sana
"Tapi dengan baik nya dia mau nemenin aku, boncengin aku naik motor pulang pergi Jogja-Magelang.",tapi dengan baik nemenin boncengin naik motor pulang pergi jogja magelang,tapi dengan baik nemenin boncengin naik motor pulang pergi jogja magelang,serbaneka,positif,positif,4,1,tapi dengan baik nemenin boncengin naik motor pulang pergi jogja magelang
"Sungguh, karna ini pertama kali buat ku.",sungguh karena pertama kali buat,sungguh karena pertama kali buat,serbaneka,positif,netral,4,1,sungguh karena pertama kali buat
"Cuma bisa ""wow"" besarnya.",cuma bisa besarnya,cuma bisa besarnya,serbaneka,positif,positif,4,1,cuma bisa besarnya
Agung nya.,agung,agung,serbaneka,positif,positif,4,1,
"Terimakasih Tuhan, waktu, energi dan langkah yang kau restui",terimakasih tuhan waktu energi langkah yang kamu restui,terimakasih tuhan waktu energi langkah yang kamu restui,serbaneka,positif,positif,4,1,terimakasih tuhan waktu energi langkah yang kamu restui
Ini adalah alasan utama untuk mengunjungi Yogyakarta.,adalah alasan utama untuk mengunjungi yogyakarta,adalah alasan utama untuk mengunjungi yogyakarta,serbaneka,positif,positif,4,1,adalah alasan utama untuk mengunjungi yogyakarta
Situs bersejarah ini adalah daya tarik.,situs bersejarah adalah daya tarik,situs bersejarah adalah daya tarik,lokasi,positif,positif,2,1,situs bersejarah adalah daya tarik
"Jika Anda benar-benar tertarik dengan sejarah di belakang monumen ini menarik, Anda dapat dengan mudah menyewa pemandu wisata.",jika anda benar benar tertarik dengan sejarah belakang monumen menarik anda dapat dengan mudah menyewa pemandu wisata,jika anda benar benar tertarik dengan sejarah belakang monumen menarik anda dapat dengan mudah menyewa pemandu wisata,fasilitas,positif,positif,1,1,jika anda benar benar tertarik dengan sejarah belakang monumen menarik anda dapat dengan mudah menyewa pemandu wisata
"Ketika kami tinggal di Manohara yang ada di dalam kompleks Candi (maka biaya masuk tidak diperlukan), kami mengunjungi kuil beberapa kali selama kami 2-malam-tinggal.",ketika kami tinggal manohara yang dalam kompleks candi maka biaya masuk tidak diperlukan kami mengunjungi kuil beberapa kali selama kami malam tinggal,ketika kami tinggal manohara yang dalam kompleks candi maka biaya masuk tidak_diperlukan kami mengunjungi kuil beberapa kali selama kami malam tinggal,fasilitas,positif,netral,1,1,ketika kami tinggal manohara yang dalam kompleks candi maka biaya masuk tidak NEG_diperlukan kami mengunjungi kuil beberapa kali selama kami malam tinggal
"Ini termasuk pagi sunrise tour, yang kami menemukan tidak begitu spektakuler.",termasuk pagi matahari terbit wisata yang kami menemukan tidak begitu spektakuler,termasuk pagi matahari terbit wisata yang kami menemukan tidak_begitu spektakuler,suasana,negatif,negatif,3,0,termasuk pagi matahari terbit wisata yang kami menemukan tidak NEG_begitu 
Pemandangan matahari terbit itu tidak layak dengan jumlah yang kita dibayar.,pemandangan matahari terbit tidak layak dengan jumlah yang kita dibayar,pemandangan matahari terbit tidak_layak dengan jumlah yang kita dibayar,suasana,negatif,negatif,3,0,pemandangan matahari terbit tidak NEG_layak dengan jumlah yang kita dibayar
Kami tidak pernah bosan karena hal-hal baru yang kami temukan setiap kali.,kami tidak pernah bosan karena baru yang kami temukan setiap kali,kami tidak_pernah bosan karena baru yang kami temukan setiap kali,serbaneka,positif,positif,4,1,kami tidak NEG_pernah bosan karena baru yang kami temukan setiap kali
patung-patung buddha menakjubkan.,patung patung buddha menakjubkan,patung patung buddha menakjubkan,lokasi,positif,positif,2,1,patung patung buddha menakjubkan
Ada begitu banyak kesempatan foto.,begitu banyak kesempatan foto,begitu banyak kesempatan foto,serbaneka,positif,netral,4,1,begitu banyak kesempatan foto
Pemandangan dari tingkat atas sangat indah.,pemandangan dari tingkat atas sangat indah,pemandangan dari tingkat atas sangat indah,suasana,positif,positif,3,1,pemandangan dari tingkat atas sangat indah
"Di pintu masuk/keluar, ada banyak warga lokal yang mencoba untuk menjual souvenir; dari t-shirt untuk patung miniatur kuil/buddha; dan banyak lagi.",pintu masuk keluar banyak warga lokal yang mencoba untuk menjual souvenir dari shirt untuk patung miniatur kuil buddha banyak lagi,pintu masuk keluar banyak warga lokal yang mencoba untuk menjual souvenir dari shirt untuk patung miniatur kuil buddha banyak lagi,fasilitas,positif,netral,1,1,pintu masuk keluar banyak warga lokal yang mencoba untuk menjual souvenir dari shirt untuk patung miniatur kuil buddha banyak lagi
"Jika Anda tertarik di dalamnya, tawar-menawar harga yang ditawarkan awalnya dapat sangat tinggi.",jika anda tertarik dalamnya tawar menawar harga yang ditawarkan awalnya dapat sangat tinggi,jika anda tertarik dalamnya tawar menawar harga yang ditawarkan awalnya dapat sangat tinggi,serbaneka,negatif,negatif,4,1,jika anda tertarik dalamnya tawar menawar harga yang ditawarkan awalnya dapat sangat tinggi
"Pada akhirnya, mereka mungkin akan lebih murah daripada yang dari kota Malioboro.",pada akhirnya mereka mungkin akan lebih murah daripada yang dari kota malioboro,pada akhirnya mereka mungkin akan lebih murah daripada yang dari kota malioboro,fasilitas,positif,netral,1,1,pada akhirnya mereka mungkin akan lebih murah daripada yang dari kota malioboro
Ada banyak tangga untuk memanjat tetapi mereka cukup mudah untuk dinaiki.,banyak tangga untuk memanjat tetapi mereka cukup mudah untuk dinaiki,banyak tangga untuk memanjat tetapi mereka cukup mudah untuk dinaiki,lokasi,positif,positif,2,1,banyak tangga untuk memanjat tetapi mereka cukup mudah untuk dinaiki
"Pastikan Anda membawa banyak air, topi dan kacamata hitam sebagai panas dapat benar-benar kuat.",pastikan anda membawa banyak topi kacamata hitam sebagai panas dapat benar benar kuat,pastikan anda membawa banyak topi kacamata hitam sebagai panas dapat benar benar kuat,serbaneka,negatif,negatif,4,1,pastikan anda membawa banyak topi kacamata hitam sebagai panas dapat benar benar kuat
Lebih cantik n bersih.,lebih cantik bersih,lebih cantik bersih,serbaneka,positif,positif,4,1,lebih cantik bersih
Sebuah mahakarya yang hanya ada di indonesia.,sebuah mahakarya yang hanya indonesia,sebuah mahakarya yang hanya indonesia,lokasi,positif,positif,2,1,sebuah mahakarya yang hanya indonesia
Bangunan yang sangat menakjubkan,bangunan yang sangat menakjubkan,bangunan yang sangat menakjubkan,lokasi,positif,positif,2,1,bangunan yang sangat menakjubkan
Sudah beberapa kali ke sini tapi tak pernah bisa mengelilingi seluruhnya.,sudah beberapa kali sini tapi tidak pernah bisa mengelilingi seluruhnya,sudah beberapa kali sini tapi tidak_pernah bisa mengelilingi seluruhnya,lokasi,negatif,netral,2,1,sudah beberapa kali sini tapi tidak NEG_pernah bisa mengelilingi seluruhnya
Lokasinya sangat luas.,lokasinya sangat luas,lokasinya sangat luas,lokasi,positif,netral,2,1,lokasinya sangat luas
Banyak sudut-sudut cantik untuk berfoto.,banyak sudut sudut cantik untuk berfoto,banyak sudut sudut cantik untuk berfoto,fasilitas,positif,positif,1,1,banyak sudut sudut cantik untuk berfoto
Butuh tenaga untuk bisa mengelilingi candi ini.,butuh tenaga untuk bisa mengelilingi candi,butuh tenaga untuk bisa mengelilingi candi,lokasi,positif,netral,2,1,butuh tenaga untuk bisa mengelilingi candi
"apalagi kalo mau melihat dari atas, harus menaiki banyak anak tangga.",apalagi kalau melihat dari atas harus menaiki banyak anak tangga,apalagi kalau melihat dari atas harus menaiki banyak anak tangga,lokasi,positif,netral,2,1,apalagi kalau melihat dari atas harus menaiki banyak anak tangga
"Bila Anda berencana pergi ke Borobudur, jangan lupa membawa payung atau topi.",bila anda berencana pergi borobudur jangan lupa membawa payung atau topi,bila anda berencana pergi borobudur jangan lupa membawa payung atau topi,serbaneka,positif,netral,4,1,bila anda berencana pergi borobudur jangan lupa membawa payung atau topi
Disana juga disediakan kursi roda gratis buat orang tua.,disana juga disediakan kursi roda gratis buat orang,disana juga disediakan kursi roda gratis buat orang,fasilitas,positif,netral,1,1,disana juga disediakan kursi roda gratis buat orang
Cukup dengan memberikan kartu ID card.,cukup dengan memberikan kartu card,cukup dengan memberikan kartu card,serbaneka,positif,netral,4,1,cukup dengan memberikan kartu card
"Karena jalanan menanjak, kita bisa meminta bantuan dengan orang-orang sekitaran - tentunya dengan membayar kepada mereka jasa mendorong kursi roda.",karena jalanan menanjak kita bisa meminta bantuan dengan orang orang sekitaran tentunya dengan membayar kepada mereka jasa mendorong kursi roda,karena jalanan menanjak kita bisa meminta bantuan dengan orang orang sekitaran tentunya dengan membayar kepada mereka jasa mendorong kursi roda,fasilitas,positif,netral,1,1,karena jalanan menanjak kita bisa meminta bantuan dengan orang orang sekitaran tentunya dengan membayar kepada mereka jasa mendorong kursi roda
"Untuk tiket seharga Rp 40,000 per orang untuk wisatawan lokal.",untuk tiket seharga rupiah orang untuk wisatawan lokal,untuk tiket seharga rupiah orang untuk wisatawan lokal,serbaneka,positif,netral,4,1,untuk tiket seharga rupiah orang untuk wisatawan lokal
Kita juga bisa membeli tiket terusan seperti tiket terusan Borobudur - Prambanan atau Borobudur - Ratu Boko.,kita juga bisa membeli tiket terusan seperti tiket terusan borobudur prambanan atau borobudur ratu boko,kita juga bisa membeli tiket terusan seperti tiket terusan borobudur prambanan atau borobudur ratu boko,fasilitas,positif,netral,1,1,kita juga bisa membeli tiket terusan seperti tiket terusan borobudur prambanan atau borobudur ratu boko
"Saya sudah beberapa kali pergi ke Borobudur, dan tidak pernah bosan dengan keindahan dari candi ini.",saya sudah beberapa kali pergi borobudur tidak pernah bosan dengan keindahan dari candi,saya sudah beberapa kali pergi borobudur tidak_pernah bosan dengan keindahan dari candi,suasana,positif,positif,3,1,saya sudah beberapa kali pergi borobudur tidak NEG_pernah bosan dengan keindahan dari candi
Candi Borobudur adalah salah satu dari 7 keajaiban dunia.,candi borobudur adalah salah satu dari keajaiban dunia,candi borobudur adalah salah satu dari keajaiban dunia,serbaneka,positif,positif,4,1,candi borobudur adalah salah satu dari keajaiban dunia
Lebih nyaman jika berkunjung ketika musim kemarau karena suasananya akan terlihat jelas,lebih nyaman jika berkunjung ketika musim kemarau karena suasananya akan terlihat jelas,lebih nyaman jika berkunjung ketika musim kemarau karena suasananya akan terlihat jelas,suasana,positif,positif,3,1,lebih nyaman jika berkunjung ketika musim kemarau karena suasananya akan terlihat jelas
Baru kali ini ke Borobudur naik sampe puncaknya sendirian.,baru kali borobudur naik sampai puncaknya sendirian,baru kali borobudur naik sampai puncaknya sendirian,serbaneka,positif,netral,4,1,baru kali borobudur naik sampai puncaknya sendirian
"Seru sih dan menyenangkan, salah satu candi terindah dan termegah yg ku tau.",seru menyenangkan salah satu candi terindah termegah yang,seru menyenangkan salah satu candi terindah termegah yang,serbaneka,positif,positif,4,1,seru menyenangkan salah satu candi terindah termegah yang
Walaupun waktu itu gerimis2 cantik gitu tapi gak menyurutkan aku utk naik sampai puncak.,walaupun waktu gerimis gerimis cantik begitu tapi tidak menyurutkan untuk naik sampai puncak,walaupun waktu gerimis gerimis cantik begitu tapi tidak_menyurutkan untuk naik sampai puncak,serbaneka,positif,positif,4,1,walaupun waktu gerimis gerimis cantik begitu tapi tidak NEG_menyurutkan untuk naik sampai puncak
"At least, aku puas dan takjub bgt liat Borobudur sampai puncaknya, meskipun katanya skrg puncaknya itu sudah agak menurun posisi dataran tanahnya krn efek gempa berkali2 disana.",least puas takjub banget lihat borobudur sampai puncaknya meskipun katanya sekarang puncaknya sudah agak menurun posisi dataran tanahnya karena efek gempa berkali berkali disana,least puas takjub banget lihat borobudur sampai puncaknya meskipun katanya sekarang puncaknya sudah agak menurun posisi dataran tanahnya karena efek gempa berkali berkali disana,lokasi,positif,positif,2,1,least puas takjub banget lihat borobudur sampai puncaknya meskipun katanya sekarang puncaknya sudah agak menurun posisi dataran tanahnya karena efek gempa berkali berkali disana
Tempatnya bagus dan memukau.,tempatnya bagus memukau,tempatnya bagus memukau,lokasi,positif,positif,2,1,tempatnya bagus memukau
Memang terdapat kekurangan pada banyaknya pedagang yang menawarkan barang dengan cukup memaksa namun itu semua tidak berarti setelah kita melihat tempatnya.,memang terdapat kekurangan pada banyaknya pedagang yang menawarkan barang dengan cukup memaksa namun semua tidak berarti setelah kita melihat tempatnya,memang terdapat kekurangan pada banyaknya pedagang yang menawarkan barang dengan cukup memaksa namun semua tidak_berarti setelah kita melihat tempatnya,fasilitas,negatif,negatif,1,0,memang terdapat kekurangan pada banyaknya pedagang yang menawarkan barang dengan cukup memaksa namun semua tidak NEG_berarti setelah kita melihat tempatnya
