,Review,Sentimen,Aspek_Kategori,classified,Label_Aspek,Label_Sen,Review_Bersih,review_stemmed
23,Candi ini adalah candi yang terbesar di Indonesia.,positif,lokasi,lokasi,2,1,candi adalah candi yang terbesar indonesia,candi adalah candi yang besar indonesia
24,Banyak sekali wisatawan lokal maupun luar negeri yang datang kesini.,netral,serbaneka,serbaneka,4,0,banyak sekali wisatawan lokal maupun luar negeri yang datang kesini,banyak sekali wisatawan lokal maupun luar negeri yang datang kesini
25,Kamu bisa juga menikmati suasana candi pada waktu yang menurutmu baik seperti Sunrise atau Sunset.,positif,suasana,suasana,3,1,kamu bisa juga menikmati suasana candi pada waktu yang menurutmu baik seperti matahari terbit atau matahari tenggelam,kamu bisa juga nikmat suasana candi pada waktu yang turut baik seperti matahari terbit atau matahari tenggelam
26,"Datang ke Candi Borobudur bila kamu menginap dari Jogja, kamu tentunya membutuhkan transportasi.",netral,serbaneka,serbaneka,4,0,datang candi borobudur bila kamu menginap dari jogja kamu tentunya membutuhkan transportasi,datang candi borobudur bila kamu inap dari jogja kamu tentu butuh transportasi
27,Kamu bisa menghubungi saya untuk transport ke Candi Borobudur.,netral,serbaneka,serbaneka,4,0,kamu bisa menghubungi saya untuk transport candi borobudur,kamu bisa hubung saya untuk transport candi borobudur
28,"Menikmati karya nenek moyang kita, sambil berjalan jalan mengikui relief yang ada, tak ada salahnya kita mengucap syukur atas karya leluhur kita ini.",positif,lokasi,lokasi,2,1,menikmati karya nenek moyang kita sambil berjalan jalan mengikui relief yang tidak_ada salahnya kita mengucap syukur atas karya leluhur kita,nikmat karya nenek moyang kita sambil jalan jalan mengikui relief yang tidak ada salah kita ucap syukur atas karya leluhur kita
29,"Batu candi tersusun rapi, indah, cantik dan mengandung nasehat yang luhur.",positif,lokasi,lokasi,2,1,batu candi tersusun rapi indah cantik mengandung nasehat yang luhur,batu candi susun rapi indah cantik kandung nasehat yang luhur
30,Dari sekolah dasar sampai sekarang dewasa.,netral,serbaneka,serbaneka,4,0,dari sekolah dasar sampai sekarang dewasa,dari sekolah dasar sampai sekarang dewasa
31,Kalau ke candi Borobudur selalu saja senang banget.,positif,serbaneka,serbaneka,4,1,kalau candi borobudur selalu saja senang banget,kalau candi borobudur selalu saja senang banget
32,"Mulai dari pintu masuk sudah ada fasilitas toilet dan mushola,Sebelum kita berjalan ke candinya.",netral,fasilitas,fasilitas,1,0,mulai dari pintu masuk sudah fasilitas toilet mushola sebelum kita berjalan candinya,mulai dari pintu masuk sudah fasilitas toilet mushola belum kita jalan candi
33,Setelah berjalan kiri kanan tampak indah pepohonan dan bunga.,positif,suasana,serbaneka,3,1,setelah berjalan kiri kanan tampak indah pepohonan bunga,telah jalan kiri kanan tampak indah pohon bunga
34,Seolah tidak terasa panasnya terik matahari.,positif,suasana,suasana,3,1,seolah tidak_terasa panasnya terik matahari,olah tidak asa panas terik matahari
35,Saking asyiknya menikmati pemandangan tau tau sudah sampai puncak.,positif,suasana,suasana,3,1,saking asyiknya menikmati pemandangan tahu tahu sudah sampai puncak,saking asyik nikmat pandang tahu tahu sudah sampai puncak
36,Seolah olah kota Magelang dan sekitarnya kelihatan semua dari atas candi.,positif,lokasi,lokasi,2,1,seolah olah kota magelang sekitarnya kelihatan semua dari atas candi,olah olah kota magelang sekitar lihat semua dari atas candi
37,Setelah kita foto2 akhirnya memutuskan untuk menuju pintu keluar disitu ada mushola juga.,netral,fasilitas,fasilitas,1,0,setelah kita foto foto akhirnya memutuskan untuk menuju pintu keluar disitu mushola juga,telah kita foto foto akhir putus untuk tuju pintu keluar situ mushola juga
38,Alhamdulillah ucapku.,netral,serbaneka,serbaneka,4,0,alhamdulillah ucapku,alhamdulillah ucap
39,Sambil menuju pintu keluar terdapat pedagang yang banyak banget.,netral,fasilitas,fasilitas,1,0,sambil menuju pintu keluar terdapat pedagang yang banyak banget,sambil tuju pintu keluar dapat dagang yang banyak banget
40,Bisa memilih oleh2 yang cocok untuk keluarga.,netral,fasilitas,fasilitas,1,0,bisa memilih oleh oleh yang cocok untuk keluarga,bisa pilih oleh oleh yang cocok untuk keluarga
41,Dari dulu sampai sekarang candi Borobudur tetap indah.,positif,serbaneka,serbaneka,4,1,dari dahulu sampai sekarang candi borobudur tetap indah,dari dahulu sampai sekarang candi borobudur tetap indah
42,indah.,positif,serbaneka,serbaneka,4,1,indah,indah
43,dan indah.,positif,serbaneka,serbaneka,4,1,indah,indah
44,"Sudah tidak diragukan lagi untuk bagunan candinya Sangat menarik penuh dengan unsur kebudayaan, keagamaan dan wisata sejarah,.",positif,lokasi,lokasi,2,1,sudah tidak_diragukan lagi untuk bagunan candinya sangat menarik penuh dengan unsur kebudayaan keagamaan wisata sejarah,sudah tidak ragu lagi untuk bagunan candi sangat tarik penuh dengan unsur budaya agama wisata sejarah
45,Banyak juga terdapat tempat sovenir untuk dibawa sebagai oleh oleh,netral,fasilitas,fasilitas,1,0,banyak juga terdapat tempat suvenir untuk dibawa sebagai oleh oleh,banyak juga dapat tempat suvenir untuk bawa bagai oleh oleh
46,"Pertama kali ke candi borobudur rasanya merupakan sesuatu yang amazing terlebih lagi buat saya pribadi bisa melihat keindahan alam yang ada di sana, apalagi view di borobudur sangat sejuk dan indah pemandangannya.",positif,suasana,suasana,3,1,pertama kali candi borobudur rasanya merupakan sesuatu yang menakjubkan terlebih lagi buat saya pribadi bisa melihat keindahan alam yang sana apalagi pemandangan borobudur sangat sejuk indah pemandangannya,pertama kali candi borobudur rasa rupa sesuatu yang takjub lebih lagi buat saya pribadi bisa lihat indah alam yang sana apalagi pandang borobudur sangat sejuk indah pandang
47,Saya adalah sopir di yogyakarta ke borobudur dalam rangka mengantarkan tamu rombongan dari spanyol dan sekitarnya,netral,serbaneka,serbaneka,4,0,saya adalah sopir yogyakarta borobudur dalam rangka mengantarkan tamu rombongan dari spanyol sekitarnya,saya adalah sopir yogyakarta borobudur dalam rangka antar tamu rombong dari spanyol sekitar
48,"kawasan candi yang bagus, menarik, banyak wisatawan, sangat bersih kawasannya, sejuk udaranya, baguss",positif,serbaneka,serbaneka,4,1,kawasan candi yang bagus menarik banyak wisatawan sangat bersih kawasannya sejuk udaranya baguss,kawasan candi yang bagus tarik banyak wisatawan sangat bersih kawasan sejuk udara baguss
49,Akhirnya sampek juga ke Jawa Tengah.,netral,serbaneka,serbaneka,4,0,akhirnya sampai juga jawa tengah,akhir sampai juga jawa tengah
50,Dan Borobudur adalah salah satu tujuan utama ku.,netral,serbaneka,serbaneka,4,0,borobudur adalah salah satu tujuan utama,borobudur adalah salah satu tuju utama
51,Sebenarnya temen ku udh pernah ke sana.,netral,serbaneka,serbaneka,4,0,sebenarnya teman sudah pernah sana,benar teman sudah pernah sana
52,"Tapi dengan baik nya dia mau nemenin aku, boncengin aku naik motor pulang pergi Jogja-Magelang.",positif,serbaneka,serbaneka,4,1,tapi dengan baik nemenin boncengin naik motor pulang pergi jogja magelang,tapi dengan baik nemenin boncengin naik motor pulang pergi jogja magelang
53,"Sungguh, karna ini pertama kali buat ku.",netral,serbaneka,serbaneka,4,0,sungguh karena pertama kali buat,sungguh karena pertama kali buat
54,"Cuma bisa ""wow"" besarnya.",positif,serbaneka,serbaneka,4,1,cuma bisa besarnya,cuma bisa besar
55,Agung nya.,positif,serbaneka,serbaneka,4,1,agung,agung
56,"Terimakasih Tuhan, waktu, energi dan langkah yang kau restui",positif,serbaneka,serbaneka,4,1,terimakasih tuhan waktu energi langkah yang kamu restui,terimakasih tuhan waktu energi langkah yang kamu restu
57,Ini adalah alasan utama untuk mengunjungi Yogyakarta.,positif,serbaneka,serbaneka,4,1,adalah alasan utama untuk mengunjungi yogyakarta,adalah alas utama untuk unjung yogyakarta
58,Situs bersejarah ini adalah daya tarik.,positif,lokasi,serbaneka,2,1,situs bersejarah adalah daya tarik,situs sejarah adalah daya tarik
59,"Jika Anda benar-benar tertarik dengan sejarah di belakang monumen ini menarik, Anda dapat dengan mudah menyewa pemandu wisata.",positif,fasilitas,fasilitas,1,1,jika anda benar benar tertarik dengan sejarah belakang monumen menarik anda dapat dengan mudah menyewa pemandu wisata,jika anda benar benar tarik dengan sejarah belakang monumen tarik anda dapat dengan mudah sewa pandu wisata
60,"Ketika kami tinggal di Manohara yang ada di dalam kompleks Candi (maka biaya masuk tidak diperlukan), kami mengunjungi kuil beberapa kali selama kami 2-malam-tinggal.",netral,fasilitas,fasilitas,1,0,ketika kami tinggal manohara yang dalam kompleks candi maka biaya masuk tidak_diperlukan kami mengunjungi kuil beberapa kali selama kami malam tinggal,ketika kami tinggal manohara yang dalam kompleks candi maka biaya masuk tidak perlu kami unjung kuil beberapa kali lama kami malam tinggal
61,"Ini termasuk pagi sunrise tour, yang kami menemukan tidak begitu spektakuler.",negatif,suasana,suasana,3,2,termasuk pagi matahari terbit wisata yang kami menemukan tidak_begitu spektakuler,masuk pagi matahari terbit wisata yang kami temu tidak begitu spektakuler
62,Pemandangan matahari terbit itu tidak layak dengan jumlah yang kita dibayar.,negatif,suasana,suasana,3,2,pemandangan matahari terbit tidak_layak dengan jumlah yang kita dibayar,pandang matahari terbit tidak layak dengan jumlah yang kita bayar
63,Kami tidak pernah bosan karena hal-hal baru yang kami temukan setiap kali.,positif,serbaneka,serbaneka,4,1,kami tidak_pernah bosan karena baru yang kami temukan setiap kali,kami tidak pernah bosan karena baru yang kami temu tiap kali
64,patung-patung buddha menakjubkan.,positif,lokasi,lokasi,2,1,patung patung buddha menakjubkan,patung patung buddha takjub
65,Ada begitu banyak kesempatan foto.,netral,serbaneka,serbaneka,4,0,begitu banyak kesempatan foto,begitu banyak sempat foto
66,Pemandangan dari tingkat atas sangat indah.,positif,suasana,suasana,3,1,pemandangan dari tingkat atas sangat indah,pandang dari tingkat atas sangat indah
67,"Di pintu masuk/keluar, ada banyak warga lokal yang mencoba untuk menjual souvenir; dari t-shirt untuk patung miniatur kuil/buddha; dan banyak lagi.",netral,fasilitas,fasilitas,1,0,pintu masuk keluar banyak warga lokal yang mencoba untuk menjual souvenir dari shirt untuk patung miniatur kuil buddha banyak lagi,pintu masuk keluar banyak warga lokal yang coba untuk jual souvenir dari shirt untuk patung miniatur kuil buddha banyak lagi
68,"Jika Anda tertarik di dalamnya, tawar-menawar harga yang ditawarkan awalnya dapat sangat tinggi.",netral,serbaneka,serbaneka,4,0,jika anda tertarik dalamnya tawar menawar harga yang ditawarkan awalnya dapat sangat tinggi,jika anda tarik dalam tawar tawar harga yang tawar awal dapat sangat tinggi
69,"Pada akhirnya, mereka mungkin akan lebih murah daripada yang dari kota Malioboro.",netral,fasilitas,fasilitas,1,0,pada akhirnya mereka mungkin akan lebih murah daripada yang dari kota malioboro,pada akhir mereka mungkin akan lebih murah daripada yang dari kota malioboro
70,Ada banyak tangga untuk memanjat tetapi mereka cukup mudah untuk dinaiki.,positif,lokasi,lokasi,2,1,banyak tangga untuk memanjat tetapi mereka cukup mudah untuk dinaiki,banyak tangga untuk panjat tetapi mereka cukup mudah untuk naik
71,"Pastikan Anda membawa banyak air, topi dan kacamata hitam sebagai panas dapat benar-benar kuat.",netral,serbaneka,serbaneka,4,0,pastikan anda membawa banyak topi kacamata hitam sebagai panas dapat benar benar kuat,pasti anda bawa banyak topi kacamata hitam bagai panas dapat benar benar kuat
72,Lebih cantik n bersih.,positif,serbaneka,serbaneka,4,1,lebih cantik bersih,lebih cantik bersih
73,Sebuah mahakarya yang hanya ada di indonesia.,positif,lokasi,lokasi,2,1,sebuah mahakarya yang hanya indonesia,buah mahakarya yang hanya indonesia
74,Bangunan yang sangat menakjubkan,positif,lokasi,lokasi,2,1,bangunan yang sangat menakjubkan,bangun yang sangat takjub
75,Sudah beberapa kali ke sini tapi tak pernah bisa mengelilingi seluruhnya.,netral,lokasi,lokasi,2,0,sudah beberapa kali sini tapi tidak_pernah bisa mengelilingi seluruhnya,sudah beberapa kali sini tapi tidak pernah bisa keliling seluruh
76,Lokasinya sangat luas.,netral,lokasi,lokasi,2,0,lokasinya sangat luas,lokasi sangat luas
77,Banyak sudut-sudut cantik untuk berfoto.,positif,fasilitas,fasilitas,1,1,banyak sudut sudut cantik untuk berfoto,banyak sudut sudut cantik untuk foto
78,Butuh tenaga untuk bisa mengelilingi candi ini.,netral,lokasi,lokasi,2,0,butuh tenaga untuk bisa mengelilingi candi,butuh tenaga untuk bisa keliling candi
79,"apalagi kalo mau melihat dari atas, harus menaiki banyak anak tangga.",netral,lokasi,lokasi,2,0,apalagi kalau melihat dari atas harus menaiki banyak anak tangga,apalagi kalau lihat dari atas harus naik banyak anak tangga
80,"Bila Anda berencana pergi ke Borobudur, jangan lupa membawa payung atau topi.",netral,serbaneka,serbaneka,4,0,bila anda berencana pergi borobudur jangan lupa membawa payung atau topi,bila anda rencana pergi borobudur jangan lupa bawa payung atau topi
81,Disana juga disediakan kursi roda gratis buat orang tua.,netral,fasilitas,fasilitas,1,0,disana juga disediakan kursi roda gratis buat orang,sana juga sedia kursi roda gratis buat orang
82,Cukup dengan memberikan kartu ID card.,netral,serbaneka,serbaneka,4,0,cukup dengan memberikan kartu card,cukup dengan beri kartu card
83,"Karena jalanan menanjak, kita bisa meminta bantuan dengan orang-orang sekitaran - tentunya dengan membayar kepada mereka jasa mendorong kursi roda.",netral,fasilitas,fasilitas,1,0,karena jalanan menanjak kita bisa meminta bantuan dengan orang orang sekitaran tentunya dengan membayar kepada mereka jasa mendorong kursi roda,karena jalan tanjak kita bisa minta bantu dengan orang orang sekitar tentu dengan bayar kepada mereka jasa dorong kursi roda
84,"Untuk tiket seharga Rp 40,000 per orang untuk wisatawan lokal.",netral,serbaneka,serbaneka,4,0,untuk tiket seharga rupiah orang untuk wisatawan lokal,untuk tiket harga rupiah orang untuk wisatawan lokal
85,Kita juga bisa membeli tiket terusan seperti tiket terusan Borobudur - Prambanan atau Borobudur - Ratu Boko.,netral,fasilitas,fasilitas,1,0,kita juga bisa membeli tiket terusan seperti tiket terusan borobudur prambanan atau borobudur ratu boko,kita juga bisa beli tiket terus seperti tiket terus borobudur prambanan atau borobudur ratu boko
86,"Saya sudah beberapa kali pergi ke Borobudur, dan tidak pernah bosan dengan keindahan dari candi ini.",positif,suasana,suasana,3,1,saya sudah beberapa kali pergi borobudur tidak_pernah bosan dengan keindahan dari candi,saya sudah beberapa kali pergi borobudur tidak pernah bosan dengan indah dari candi
87,Candi Borobudur adalah salah satu dari 7 keajaiban dunia.,positif,serbaneka,serbaneka,4,1,candi borobudur adalah salah satu dari keajaiban dunia,candi borobudur adalah salah satu dari ajaib dunia
88,Lebih nyaman jika berkunjung ketika musim kemarau karena suasananya akan terlihat jelas,positif,suasana,suasana,3,1,lebih nyaman jika berkunjung ketika musim kemarau karena suasananya akan terlihat jelas,lebih nyaman jika kunjung ketika musim kemarau karena suasana akan lihat jelas
89,Baru kali ini ke Borobudur naik sampe puncaknya sendirian.,netral,serbaneka,serbaneka,4,0,baru kali borobudur naik sampai puncaknya sendirian,baru kali borobudur naik sampai puncak sendiri
90,"Seru sih dan menyenangkan, salah satu candi terindah dan termegah yg ku tau.",positif,serbaneka,serbaneka,4,1,seru menyenangkan salah satu candi terindah termegah yang,seru senang salah satu candi indah megah yang
91,Walaupun waktu itu gerimis2 cantik gitu tapi gak menyurutkan aku utk naik sampai puncak.,positif,serbaneka,serbaneka,4,1,walaupun waktu gerimis gerimis cantik begitu tapi tidak_menyurutkan untuk naik sampai puncak,walaupun waktu gerimis gerimis cantik begitu tapi tidak surut untuk naik sampai puncak
92,"At least, aku puas dan takjub bgt liat Borobudur sampai puncaknya, meskipun katanya skrg puncaknya itu sudah agak menurun posisi dataran tanahnya krn efek gempa berkali2 disana.",positif,lokasi,lokasi,2,1,least puas takjub banget lihat borobudur sampai puncaknya meskipun katanya sekarang puncaknya sudah agak menurun posisi dataran tanahnya karena efek gempa berkali berkali disana,least puas takjub banget lihat borobudur sampai puncak meski kata sekarang puncak sudah agak turun posisi datar tanah karena efek gempa kali kali sana
93,Tempatnya bagus dan memukau.,positif,lokasi,lokasi,2,1,tempatnya bagus memukau,tempat bagus pukau
94,Memang terdapat kekurangan pada banyaknya pedagang yang menawarkan barang dengan cukup memaksa namun itu semua tidak berarti setelah kita melihat tempatnya.,negatif,fasilitas,fasilitas,1,2,memang terdapat kekurangan pada banyaknya pedagang yang menawarkan barang dengan cukup memaksa namun semua tidak_berarti setelah kita melihat tempatnya,memang dapat kurang pada banyak dagang yang tawar barang dengan cukup paksa namun semua tidak arti telah kita lihat tempat
95,Ada juga beberapa permainan di sekitarnya seperti airboard atau sekedar berfoto menggunakan busana Jawa.,netral,fasilitas,fasilitas,1,0,juga beberapa permainan sekitarnya seperti airboard atau sekedar berfoto menggunakan busana jawa,juga beberapa main sekitar seperti airboard atau dar foto guna busana jawa
96,Sebuah obyek wisata selalu memiliki daya tarik yang membuat wisatawan selalu merindukan untuk kembali menikmatinya.,positif,serbaneka,serbaneka,4,1,sebuah obyek wisata selalu memiliki daya tarik yang membuat wisatawan selalu merindukan untuk kembali menikmatinya,buah obyek wisata selalu milik daya tarik yang buat wisatawan selalu rindu untuk kembali nikmat
97,"Begitu juga komplek Candi Borobudur, juga memiliki sejuta daya tarik yang membuat anda akan mengaguminya",positif,serbaneka,serbaneka,4,1,begitu juga komplek candi borobudur juga memiliki sejuta daya tarik yang membuat anda akan mengaguminya,begitu juga komplek candi borobudur juga milik juta daya tarik yang buat anda akan kagum
98,"Borobudur saat ini beda dengan Borobudur jaman dahulu, saat ini Borobudur sungguh disiplin untuk para pengunjungnya",positif,suasana,suasana,3,1,borobudur saat beda dengan borobudur jaman dahulu saat borobudur sungguh disiplin untuk para pengunjungnya,borobudur saat beda dengan borobudur jaman dahulu saat borobudur sungguh disiplin untuk para unjung
99,Candi budha terbesar di Asia.,positif,lokasi,lokasi,2,1,candi budha terbesar asia,candi budha besar asia
100,Berdiri tegak di atas bukit merupakan karya agung dari zaman dahulu.,positif,serbaneka,serbaneka,4,1,berdiri tegak atas bukit merupakan karya agung dari zaman dahulu,diri tegak atas bukit rupa karya agung dari zaman dahulu
101,Dikunjunginya banyak wisatawan suasananya sangat ramai.,netral,suasana,suasana,3,0,dikunjunginya banyak wisatawan suasananya sangat ramai,kunjung banyak wisatawan suasana sangat ramai
102,Dengan ukuran 123 x123 m berdiri sangat kokoh.,netral,lokasi,lokasi,2,0,dengan ukuran berdiri sangat kokoh,dengan ukur diri sangat kokoh
103,Candi borobudur tidak boleh dilewatkan jika sedang berlibur ke jawa tengah.,positif,serbaneka,serbaneka,4,1,candi borobudur tidak_boleh dilewatkan jika sedang berlibur jawa tengah,candi borobudur tidak boleh lewat jika sedang libur jawa tengah
104,Candi borobudur terletak dimagelang jawa tengah bukan yogyakarta.,netral,serbaneka,serbaneka,4,0,candi borobudur terletak dimagelang jawa tengah bukan yogyakarta,candi borobudur letak dimagelang jawa tengah bukan yogyakarta
105,Candi borobudur sangat cantik.,positif,serbaneka,serbaneka,4,1,candi borobudur sangat cantik,candi borobudur sangat cantik
106,"Saya pernah ke Candi Borobudur saat hari terik, suatu ketika saya ke sana pada saat cuaca mendung.",netral,suasana,suasana,3,0,saya pernah candi borobudur saat hari terik suatu ketika saya sana pada saat cuaca mendung,saya pernah candi borobudur saat hari terik suatu ketika saya sana pada saat cuaca mendung
107,"Dan tepat ketika tiba di paling atas, hujan turun.",netral,lokasi,lokasi,2,0,tepat ketika tiba paling atas hujan turun,tepat ketika tiba paling atas hujan turun
108,"Meskipun sedang hujan atau mendung, Candi Borobudur tetap bisa ternikmati.",positif,suasana,suasana,3,1,meskipun sedang hujan atau mendung candi borobudur tetap bisa ternikmati,meski sedang hujan atau mendung candi borobudur tetap bisa nikmat
109,"Untungnya saya bawa jas hujan, hanya saja perlu kehati-hatian saat turun karena kemungkinan ada anak tangga yang berlumut dan mengakibatkan licin, meskipun dalam jangka waktu tertentu tempat ini rutin dibersihkan dari lumut.",netral,lokasi,lokasi,2,0,untungnya saya bawa hujan hanya saja perlu kehati hatian saat turun karena kemungkinan anak tangga yang berlumut mengakibatkan licin meskipun dalam jangka waktu tertentu tempat rutin dibersihkan dari lumut,untung saya bawa hujan hanya saja perlu hati hati saat turun karena mungkin anak tangga yang lumut akibat licin meski dalam jangka waktu tentu tempat rutin bersih dari lumut
110,Sebaiknya perjalanan mendaki dinikmati perlahan agar capainya tidak terasa.,netral,serbaneka,serbaneka,4,0,sebaiknya perjalanan mendaki dinikmati perlahan agar capainya tidak_terasa,baik jalan daki nikmat perlahan agar capai tidak asa
111,Jangan lupa untuk berbekal minum dengan botol minum sendiri dan tidak menyampah di sana!,netral,serbaneka,serbaneka,4,0,jangan lupa untuk berbekal minum dengan botol minum sendiri tidak_menyampah sana,jangan lupa untuk bekal minum dengan botol minum sendiri tidak sampah sana
112,"Selain wisata candi, ada pula museum dan pasar cenderamata.",netral,fasilitas,fasilitas,1,0,selain wisata candi pula museum pasar cenderamata,selain wisata candi pula museum pasar cenderamata
113,"Gak afdol klo ke jogja gak mampir ke candi Borobudur padahal cukup menguras energi tp seru klo bareng2 keluarga, makan di lesehan sekitar souvenir untuk melepas lelah.",positif,serbaneka,serbaneka,4,1,tidak_afdol kalau jogja tidak_mampir candi borobudur padahal cukup menguras energi tapi seru kalau bareng bareng keluarga makan lesehan sekitar souvenir untuk melepas lelah,tidak afdol kalau jogja tidak mampir candi borobudur padahal cukup uras energi tapi seru kalau bareng bareng keluarga makan leseh sekitar souvenir untuk lepas lelah
114,Sedikit panas tapi seimbang dengan harganya.,positif,suasana,suasana,3,1,sedikit panas tapi seimbang dengan harganya,sedikit panas tapi imbang dengan harga
115,Sudah tak terhitung berapa kali saya ke sini.,netral,serbaneka,serbaneka,4,0,sudah tidak_terhitung berapa kali saya sini,sudah tidak hitung berapa kali saya sini
116,Tempat nya tambah bagus.,positif,lokasi,lokasi,2,1,tempat tambah bagus,tempat tambah bagus
117,"fasilitas memadai, toko oleh-oleh tersedia.",positif,fasilitas,fasilitas,1,1,fasilitas memadai toko oleh oleh tersedia,fasilitas pada toko oleh oleh sedia
118,"Saran, kalau mau ke sini pagi pagi yaa.",positif,suasana,suasana,3,1,saran kalau sini pagi pagi,saran kalau sini pagi pagi
