Review,Rating
"Main kesini karena ini salah satu warisan budaya indonesia,candi ini salahsatu yg terbesar diindonesia,,sy tinggal di yogya juga tapi jarak nya kalo kesini lumayan jauh sihh,,tapi sayang 2 masa orang diy gapernah ke candi nya ,,Pengalaman berharga bisa kesini dengan teman2 alumni",Bagus
"kawasan candi yang bagus, menarik, banyak wisatawan, sangat bersih kawasannya, sejuk udaranya, baguss",Bagus
"Ini cerita tahun lalu di bulan april. Akhirnya sampek juga ke Jawa Tengah. Dan Borobudur adalah salah satu tujuan utama ku. Sebenarnya temen ku udh pernah ke sana. Tapi dengan baik nya dia mau nemenin aku, boncengin aku naik motor pulang pergi Jogja-Magelang.Sungguh, karna ini pertama kali buat ku. Cuma bisa ""wow"" besarnya. Agung nya.. Terimakasih Tuhan, waktu, energi dan langkah yang kau restui",Bagus
"Ini adalah alasan utama untuk mengunjungi Yogyakarta. Situs bersejarah ini adalah daya tarik. Jika Anda benar-benar tertarik dengan sejarah di belakang monumen ini menarik, Anda dapat dengan mudah menyewa pemandu wisata. Kami melakukan ini pada kita sendiri. Ketika kami tinggal di Manohara yang ada di dalam kompleks Candi (maka biaya masuk tidak diperlukan), kami mengunjungi kuil beberapa kali selama kami 2-malam-tinggal. Ini termasuk pagi sunrise tour, yang kami menemukan tidak begitu spektakuler. Pemandangan matahari terbit itu tidak layak jumlah kita dibayar. Kami tidak pernah bosan karena hal-hal baru yang kami menemukan setiap kali.Lega dan buddha patung-patung menakjubkan. Ada begitu banyak kesempatan foto. Pemandangan dari tingkat atas sangat indah. Di pintu masuk/keluar, ada banyak warga lokal yang mencoba untuk menjual souvenir; dari t-shirt untuk patung miniatur kuil/buddha; dan banyak lagi. Jika Anda tertarik di dalamnya, tawar-menawar harga yang ditawarkan awalnya dapat sangat tinggi. Pada akhirnya, mereka mungkin akan lebih murah daripada yang dari kota Malioboro.Ada banyak tangga untuk memanjat tetapi mereka cukup mudah dikelola. Pastikan Anda membawa banyak air, topi dan kacamata hitam sebagai panas dapat benar-benar kuat.Ketika kami mengunjungi Maret 2011, tingkat atas ditutup untuk renovasi bekerja. Jadi, periksa jika mereka dibuka seperti yang kita tidak terjawab melihat Buddha dalam stupa dekat.",Bagus
Lebih canntik n bersih...Sebuah mahakarya yang hanya ada di indonesia..Bangunan yang sangat menakjubkan,Bagus
"Sudah beberapa kali ke sini tapi tak pernah bisa mengelilingi seluruhnya. Lokasinya sangat luas. Banyak sudut-sudut cantik untuk berfoto. Butuh tenaga untuk bisa mengelilingi candi ini. apalagi kalo mau melihat dari atas, harus menaiki banyak anak tangga.",Bagus
"Bila Anda berencana pergi ke Borobudur, jangan lupa membawa payung atau topi. Disana juga disediakan kursi roda gratis buat orang tua. Cukup dengan memberikan kartu ID card. Karena jalanan menanjak, kita bisa meminta bantuan dengan orang-orang sekitaran - tentunya dengan membayar kepada mereka jasa mendorong kursi roda.Untuk tiket seharga Rp 40,000 per orang untuk wisatawan lokal. Kita juga bisa membeli tiket terusan seperti tiket terusan Borobudur - Prambanan atau Borobudur - Ratu Boko.Saya sudah beberapa kali pergi ke Borobudur, dan tidak pernah bosan dengan keindahan dari candi ini.",Bagus
Candi Borobudur adalah salah satu dari 7 keajaiban dunia. Lebih nyaman jika berkunjung ketika musim kemarau karena suasananya akan terlihat jelas,Bagus
"Baru kali ini ke Borobudur naik sampe puncaknya sendirian. Seru sih dan menyenangkan, salah satu candi terindah dan termegah yg ku tau. Walaupun waktu itu gerimis2 cantik gitu tapi gak menyurutkan aku utk naik sampai puncak.At least, aku puas dan takjub bgt liat Borobudur sampai puncaknya, meskipun katanya skg puncaknya itu sudah agak menurun posisi dataran tanahnya krn efek gempa berkali2 disana. But, it’s fun experience!!",Bagus
Tempatnya bagus dan memukau. Memang terdapat kekurangan pada banyaknya pedagang yang menawarkan barang dengan cukup memaksa namun itu semua tidak berarti setelah kita melihat tempatnya. Ada juga beberapa permainan di sekitarnya seperti airboard atau sekedar berfoto menggunakan busana Jawa.,Bagus
"Sebuah obyek wisata selalu memiliki daya tarik yang membuat wisatawan selalu merindukan untuk kembali menikmatinya. Begitu juga komplek Candi Borobudur, juga memiliki sejuta daya tarik yang membuat anda akan mengaguminya",Bagus
"Borobudur saat ini beda dengan Borobudur jaman dahulu, saat ini Borobudur sungguh disiplin untuk para pengunjungnya",Bagus
Candi budha terbesar di Asia. Berdiri tegak di atas bukit merupakan karya agung dari zaman dahulu. Dikunjunginya banyak wisatawan suasananya sangat ramai. Dengan ukuran 123 x123 m berdiri sangat kokoh.,Bagus
Candi borobudur tidak boleh dilewatkan jika sedang berlibur ke jawa tengah. Candi borobudur terletak dimagelang jawa tengah bukan yogyakarta. Candi borobudur sangat cantik.,Bagus
"Saya pernah ke Candi Borobudur saat hari terik, suatu ketika saya ke sana pada saat cuaca mendung. Dan tepat ketika tiba di paling atas, hujan turun. Meskipun sedang hujan atau mendung, Candi Borobudur tetap bisa ternikmati. Untungnya saya bawa jas hujan, hanya saja perlu kehati-hatian saat turun karena kemungkinan ada anak tangga yang berlumut dan mengakibatkan licin, meskipun dalam jangka waktu tertentu tempat ini rutin dibersihkan dari lumut. Sebaiknya perjalanan mendaki dinikmati perlahan agar capainya tidak terasa. Jangan lupa untuk berbekal minum dengan botol minum sendiri dan tidak menyampah di sana! Selain wisata candi, ada pula museum dan pasar cenderamata.",Bagus
"Gak afdol klo ke jogja gak mampir ke candi Borobudur padahal cukup menguras energi tp seru klo bareng2 keluarga, makan di lesehan sekitar souvenir untuk melepas lelah. Sedikit panas tapi seimbang dengan harganya. ",Bagus
"Sudah tak terhitung berapa kali saya ke sini. Tempat nya tambah bagus.. fasilitas memadai, toko oleh-oleh tersedia. Saran, kalau mau ke sini pagi pagi yaa..",Bagus
"Gagal menikmati Sunrise di Borobudur tak menyurutkan niatku untuk masuk kawasan candi dan menikmati ornamen ornamen pahatan orang jaman dulu.Siapa tak kenal Borobudur, candi megah dengan struktur piramid berundak yang tersusun dari batuan andesit dengan luas 123 X 123 meter dan terletak di Magelang, Jawa Tengah dengan arsitek bernama Gunadharma.""Mungkin banyak yang menyangka kalau Borobudur adalah bagian dari Daerah Istimewa Yogyakarta. Akupun awalnya sama menyangka demikian. Tapi setelah bertanya kepada petugas ternyata anggapan ini salah,"".Siang semakin terik, sekitar pukul 08.00 WIB kubeli tiket masuk dengan harga sekitar Rp 40.000, ini harga untuk wisatawan domestik, kalau untuk mancanegara bisa dikenakan US $ 20.""Antrian dari pagi hingga siang terus tak putus, hari ini Rabu (14/12) banyak sekali Siswa sekolah yang mengunjungi Borobudur, mungkin mereka sedang study tour,"".Dengan jarak yang cukup jauh dari pintu masuk hingga kawasan candi tentu sangat menguras tenaga, kalaupun capek di area candi juga terdapat kendaraan yang disewakan.""Lelah memang terasa, setelah nanjak di Punthuk Setumbu kini harus berjalan dan nanjak lagi keatas Candi,"".Rasa takjub saat menaiki tangga perlahan mengobati lelah. Ornamen ukiran batu disekeliling candi membuatku bertanya. Manusia seperti apa dan teknologi seperti apa yang diterapkan untuk membuat candi ini.Menurut petugas penjaga candi, sebelum ditemukan oleh Sir Thomas  Stamford Raffles pada tahun 1814 Saat menjabat sebagai Gubernur Inggris terhadap Jawa.""Dulu Borobudur sudah ditinggalkan oleh masyarakat Budha, mungkin karena alasan penyebaran agama Islam yang terus merambah disekitar Borobudur,"".Setelah puas melihat pemandangan disekitar candi, relief relief pahatan, stupa yang berisi patung budha lantas aku turun dan mampir ke kedai yang ada disekitar kawasan untuk menikmati es dawet. ""Panas terik, Capek setelah jalan jauh rasanya sedikit terobati setelah minum dawet sambil menikmati gajah gajah yang sedang bercengkrama,"".Siang sudah semakin nyata. Tak terasa sekitat 6 jam sudah kukelilingi candi Borobudur mulai dari bukit hingga melihat lebih dekat.""Waktu menunjukan pukul 12.00 WIB, aku harus bergegas pulang ke Yogyakarta karena masa sewa sepeda motor akan segera berakhir,"".",Bagus
"Candi Borobudur merupakan satu-satunya candi budha terbesar di dunia sampai saat ini. Meskipun sekarang sudah tidak lagi menyandang sebagai tujuh keajaiban dunia, namun Candi yang satu ini tetap menjadi nomor satu di kalangan para wisatawan domestik maupun mancanegara untuk dikunjungi.",Bagus
"Borobudur adalah sebuah candi Buddha yang terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Candi ini terletak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta.Cuaca hujan renyai-renyai dan sekejpa lebt mengiringi langkah kami pagi itu.. Ramai juga pemduduk tempat yang menjual payung tapi kami bertegas tidak mahu memebeli kerana susah nak membawanya... Kebetulan pelajar2 dari sekolah tempatan juga sedang membuat lawatan.. Sungguh meriah jadinya.. Kawasannya sangat luas.. Perlukan semangat yang tinggi untuk mendaki hingg ake puncak... Lelah juga la..",Bagus
"Hallo gas,pgi ini tur borobudur ges,diman borobudur adlah 7keajaiban dunia,mau tur hubungi 081391355210",Bagus
"Amazing view from the top, great sunrise, excellent temple ,, candi yang terbesar di dunia sangat menakjubkan dan mempesona",Bagus
Menakjubkan dan mempersona bagi pengunjung yg ingin menikmati candi Borobudur yang mana ini candi Buddha terbesar didunia,Bagus
Megah candinya..tp sayang keluarnya harus jalan kaki jauh..harga masuk dewasa wisatawan domestik Nov 2018 Rp. 40.000,Bagus
"Sudah dua kali ke tempat ini selalu membuat takjub, sebuah peninggalan bersejarah keajaiban Dunia yang ada di Indonesia. Candi Borobudur adalah kebanggaan Indonesia yang penting untuk terus dilestarikan !",Bagus
"Yang main ke jogja yang dari luar kota, jangan sam[pai gak mampir berkunjung ke Candi Borobudur, Candi yang menjadi salah satu objek keajaiban dunia, menjadi pilihan wisata yang pas ,, bawa payung dan kacamata item yaaa karna panas nya luar biasa ",Bagus
"destinasi utama kalau ke jogja, candi yang megah dan terawat,, walaupun capek karena harus berjalan jauh tapi langsung terbayar kalau sudah sampai di puncak candi..",Bagus
"Beberapa kali sudah mengunjungi Candi ini, tetap saja kekaguman saya tidak daapt saya sembunyikan, Bangunan candi yang kokoh, meski beberapa patung sudah kehilangan kepala atau tangan atau bagian tubuh yang lain, namun tidak mengurangi kekaguman saya terhadap nenek moyang yang dengan peralatan seadanya mampu membuat candi semegah ini.",Bagus
"Unik, legend dan besar banget. Warisan sejarah dan budaya yg msh terawat baik dan perlu dijaga dan lindungi. Jgn pergi di saat musim kemarau atau diatas jam10an krn sangat panas dan biasakan bawa topi dan kacamata agar tdk kepanasan.",Bagus
Wisata edukasi bernilai buaya tradisional yang sayang untuk dilewatkan.Merupakan destinasi Favorit wisatawan domestik dan mancanegara.,Bagus
"Yap.. dengan HTM Rp. 40.000,- untuk turis domestik adalah harga yang pas untuk dapat melihat kemegahan Borobudurketika dilokasi jangan kaget karena akan penuh sesak dan banyak orang berselfie ria, bagi kita yang lebih suka menikmati kemegahan bangunan mungkin akan sedikit terkalahkan oleh orang selfie yang seakan2 menguasai tempat. Tapi itulah wisata pasti rame dan penuh tapi enjoy aja..salam.. jalan jalan",Bagus
"Wisata keluarga yang menyenangkan sekalian melihat peninggalan sejarah , Indonesia wonderfull , ayo ke Indonesia dan ke candi Borobudur asek se kali tempatnya . Good Indonesia ",Bagus
"good place, tempatx bersih toilet jg bersih, souvenirnya lebih murah, pokokx tdk rugi kemari, krn sangat menyenangkan n bersih",Bagus
"Saya dan teman-teman saat berkunjung ke Candi ini melihat kegersangan disekitar Candi, karena rumput-rumput pada kering kesannya tidak disiram rutin dimusim kemarau ini.Idealnya ada PIC yang rawat rumput tersebut, disirami saat musim kemarau, bila ada rumput yang mati segera diganti rumput baru.Jadi tidak kelihatan gersang dan menambah arsi pemandangan.",Bagus
"Sangat menakjubkan bisa mengajak, dan mengenalkan kepada anak, tentang kemegahan dan sejarah candi Borobudur. Semoga tetap terjaga sampai di masa mendatang",Bagus
Pernah dateng tapi cocoknya mungkin sunrise atau sunset...terlalu ramai di saat jam sibuk...wajib datang lagi,Bagus
"Pernah kesini waktu SD dulu lokasi nya real mantap dehh,candi mantap banget,megah dan luas,apalagi ada satu patung yang dianggap sakral banget,boleh dicoba tuh kawan",Bagus
"Alhamdulillah,bisa menikmati keindahan Candi Borobudur dipagi hari dengan udara yang sangat sejuk. Ditemani driver handal,ramah,recommended dr Adzka Tour and Transport. Recommended pokoknya, gak percaya hubungi aaja contact personnya di 085729616162",Bagus
"Tour de Jogja : Sunrise Borobudur, transit di Gereja Ayam kemudian ke Candi Pawon sambil minum Kopi di Pawon Kopi Luwak Home Industri dilanjutkan ke Candi Mendut yang merupakan Candi Budha pusat perayaan Waisak pada setiap tahunnya",Bagus
"Setelah mengikuti lomba ,kami diajak berkeliling candi Borobudur.Banyak turis asing yang datang.Kebetulan cuaca sedang terik dan kita melihat bukit yang terlihat seperti orang yang sedang tidur.",Bagus
"tempatnya sangat bagus dan luas, butuh 3 jam untuk mengelilingi tempat ini dan melihat banyak relief yang ada di setiap dindingnya, untuk yang dari luar indonesia, bisa sewa tour guide unutuk menjelaskan arti dan cerita setiap gambar yang ada di dinding",Bagus
"Peninggalan sejarah, bagus untuk datang sendiri, bersama keluarga dan kerabat. Disarankan untuk tidak menggunakan highheels ketempat ini karena kalian akan menaiki beberapa anak tangga untuk sampai ke candi nya. ",Bagus
"Mahakarya indah,dengan nuansa pedesaan yang sejuk dan damai,mempesona dan sangat menarik untuk di kunjungi.",Bagus
"Sudah 2 kali kesini, panas si, tapi bikin kangen. Pengen balik lagi kesini, banyak situs budaya sejarah disini, ",Bagus
"berkunjung kesini pas weekend emang crowded banget sulit mau foto susah terlalu banyak orang, tapi overall senang banget bisa wisata kesini, pemandangan dari atas candi sungguh indah, bisa foto di stupa nya juga.",Bagus
"Mengunjungi Candi Borobudur memberi kebanggaan tersendiri, karena candi ini sudah terkenal di seluruh dunia dan menjadi icon Indonesia. Meski tiket masuknya terhitung mahal, tapi sangat beralasan sebab pengelolaannya juga baik. Tak bosan saya kesini karena festival sering diadakan silih berganti.",Bagus
"Borobudur merupakan candi Budha dan dikenal sebagai candi terbesar di Indonesia, bahkan seluruh dunia. Candi Budha terbesar ini berada di kota Magelang, Provinsi Jawa Tengah,Indonesia. Kabarnya, candi yang mempunyai bentuk stupa ini sudah didirikan pada tahun 800sm.Setiap harinya ada banyak wisatawan yang berdatangan untuk berwisata dengan datang ke Borobudur. Orang-orang yang datang ke candi Borobudur tak hanya ingin menikmati dan menyaksikan salah satu bangunan megah ini, melainkan mereka juga ingin mengetahui kisah-kisah sejarah hingga mitos yang menyelimuti candi Budha terbesar di dunia.Bagi yang merasa kebingungan untuk menghabiskan waktu liburan, sebaiknya datanglah ke Candi Borobudur untuk mendapatkan sensasi wisata yang berbeda sekaligus berjalan-jalan sembari mengetahui sejarah peradaban agama Budha di Indonesia.",Bagus
Sudah beberpa kali kesini dan teratur kesini tempatnya semakin rapih dan bersih. Anak-anak juga senang.,Bagus
"udah ke3 kalinya kesini, namun kali ini bersama big family, keindahaannya tetap sama, tapi sdg ada sedikit renov di atas.",Bagus
"Candi borobudur ini termasuk dalam keajaiban dunia yg merupakan peninggalan sejarah. Meski banyak yg rusak di beberapa bagian, pemugaran tetap terus berlangsung.Area candi ini sangat terawat dan baik. Namun banyak nya pedagang asongan dan peminta minta dapat membuat liburan anda terasa kurang nyaman.Saat anda di area parkiran, akan banyak pedagang, dan para penyewa panyung menawarkan jasa dgn embel embel bahwa di dalam area setelah masuk dari gerbang utama tidak ada lagi sewa payung dan asongan. Tapi itu bohong.Harga sewa payung di parkiran sebesar Rp. 10.000 namun di dalam anda bisa dapatkan seharga Rp. 5.000.Di dekat arah menuju keluar terdapat mobil vw safari yg bisa anda gunakan dengan membayar Rp. 150.000 anda akan dibawa kearea parkir dengan melewati kampung wisata dan dapat mampir di beberapa tempat salah satunya peternakan lebah madu.",Bagus
Saya sangat senang mengunjungi candi borobudur karena tempat yang sangat bersih dan tidak ada yang berjualan di sekitar candi borobudur dan juga fasilitas yang sangat bagus bagi saya begitu juga orang di sana sangat ramah.,Bagus
"Baiknya berkunjung ke borobudur tidak pada saat libur panjang, karena pengunjung akan sangat padat, seperti kunjunganku (look my photo) c padatnya borobudur luar biasa dan buat kalian yang menggunakan celana atau rok selulut diwajibkan menggunakan kain yang disediakan, tetap jaga keindahan borobudur dan patuhi peraturan yang ada ya guys, ",Bagus
Tempatnya bagus banget dan bersih. Pertama kali seumur hidup ke tempat ini berkesan banget. Ternyata Indonesia juga sangat indah. ,Bagus
"Candi Borobudur sangat masyur dan indah sekali, Suasana yang asri dan penuh kenyamanan dapat kita temukan di Candi ini.",Bagus
"Borobudur, Candi Budha yang terletak didaerah Magelang, Jawa Tengah ini, bukan hanya menawarkan kemegahan candinya saja, tetapi juga menjadi salahsatu spot wisata yang cantik untuk berburu sunrise",Bagus
Salah satu lokasi yang terkenal di jawa tengah dengan pemandangan dan situasi alam yang mengagumkan sekali,Bagus
"Cuaca di borobudur cukup terik, siapkan krim tabir surya, dan juga air minum yang cukup, dalam kondisi ramai, hati-hati dalam menapaki tangga, bersabar lah...itu akan lebih baik",Bagus
"Candi Borobudur ditetapkan sebagai situs Warisan Dunia oleh UNESCO tahun 1991, arti nama Borobudur sendiri masih menjadi perdebatan para sejarawanJika ditarik garis lurus maka candi Borobudur, candi Pawon dan candi Mendut letaknya sejajar, ketiga candi tersebut juga bercorak Buddha Mahayana Seorang ilmuwan yakin candi Borobudur dibangun di tengah danau purba menyerupai teratai yang tumbuh di permukaan air",Bagus
"Candi ini terletak di Magelang, sekitar 1 jam dari Yogyakarta. Candi ini termasuk salah satu keajaiban dunia terbesar. Dan saya melihatnya bahwa candi ini luar biasa megah. Jika ingin kemari, saya sarankan gunakan T-shirt, celana santai, sepatu sport dan topi. Karena candi ini memiliki banyak sekali tangga yang harus di panjat. Dan tangga batunya tinggi-tinggi. Untuk orang tua yang memiliki masalah kaki dan menggunakan kursi roda, tidak perlu kuatir, dapat menghubungi petugas candi dan akan diarahkan ke jalan special untuk kursi roda, tapi tidak dapat naik sampai ke puncaknya. Setidaknya dapat menikmati kemegahan candi ini dari dekat. Pintu masuk dan pintu keluar berbeda arah. Di pintu keluar ada banyak pedagang-pedagang batik, cinderamata, dan camilan khas jawa tengah. Jangan lupa menanyakan harga dan menawar.",Bagus
"Setelah 25 tahun tidak berkunjung ke Borobudur, banyak sekali perubahan yg sangat mendasar, lebih rapih,bersih dan tertata dengan baik. Dengan pemandangan yg sangat indah . Pastinya sangat berkesan untuk kita.",Bagus
"salah satu tempat rekomndasi bagi travelers dari dalam negeri dan mancanegara. dapat menggunakan pembayaran tunai dan non tunai, dan anda akan bebas berfoto-foto didalamnya, tersedia juga tempat makannan khas jogjakarta.",Bagus
"Ga pernah bosan ke tempat ini. tempat yang indah, tenang dan asri. bila ingin mengunjungi tempat ini lebih baik pagi hari, karena masih sepi pengunjung, tapi bila berkunjung pada saat libur merah ataupun sekolah sudah pasti ramai sekali.",Bagus
"ga sia2 datang kesini, tempatnya bagus banget, lokasinya emang lumayan jauh tp ga bakalan nyesel sama candinya... tempatnya juga bersih . udh dua kali datang kesini .",Bagus
"kami sekeluarga berlibur ke ""Yogya"",dimana kami sempatkan pula untuk jalan-jalan ke Magelang tepatnya di ""Candi Borobudur"".Sengaja kami berkunjung ke sana untuk menunnjukkan secara langsug salah satu ""Keajaiban Dunia"" kepada putra putri kami sebagai generasi penerus bangsa,yang diharapkan senantiasa dapat memelihara dan menjaga keberadaan serta kelestarian ""Candi Borobudur"" sekaligus keindahan alam sekitar Candi",Bagus
"Sangat menyenangkan mengunjungi candi Budha terbesar di dunia, saran saya berkunjunglah di pagi hari, mulai dari jam 6, agar cuaca masih sejuk dan tidak terik, sehingga kita bisa menikmati kunjungan dengan maksimal,terlebih jika kita membawa anak anak. Mencoba tour mengelilingi desa sekita menggunakan vw safari juga merupakan pilihan yg baik, harga sangat terjangkau.",Bagus
"udah lama gak kesini, lebih bagus dan lebih indah suasana sekitarnya, banyak fasilitas tambahan dan pendukungnya, belum lagi banyak festival yang digelar disini, jangan lupa bawa topi ya klo siang hari kesininya, waktu terbaik sih sebenarnya sih sore hari..siapkan kaki anda ya..",Bagus
"Di candi borobudur terdapat arca arca yang menarikBanyak bule pada dateng ke tempat itu lho..di luar candi terdapat halaman yang luassss,terdapat sejarah sejarah untuk memperluas ilmu pengetahuanPokoknya banyak deh",Bagus
"Wajib dikunjungi, walaupun harus naik tangga dulu sampai puncaknya tapi pas di puncak, bagus banget viewnya. ",Bagus
Turun setelah keliling candi . Ada sewa mobil vw ..harga 150 ribu bisa mutar keliling sekitar kampung di Borobudur...diantar lagi ke pelataran parkir candi ,Bagus
Tempat wisata sejarah dan bukti peninggalan kerajaan zaman mataram kuno yg masih ada dan pernah menjadi salah satu keajaiban dunia.,Bagus
"Kali ini anak-anak diajak ke candi borobudur ,antusias sekali pengen segera sampai. Nyampai candi disambut berbagai spot yang menarik .Tiket domestik dewasa 40k anak 20k, kebetulan kita pas dateng pas weekdays tetapi ramai sekali pas musim liburan anak sekolah, untungnya masih bisa dapet spot buat foto foto. Untuk menghemat tenaga kita langsung naik andong 100k nyampai depan candi, lingkungan bersih dan rapi membuat makin semangat ! Saya sarankan bagi yang ga biasa berolah raga..silakan untuk menghemat tenaga memesan andong kreta atau jib..karena untuk naik ke puncak candi sungguh menguras tenaga apalagi seperti kita tidak menyempatkan sarapan alhasil turunpun berasa pengen pingsaaaan. SIlahkan datang ke candi bersama keluarga banyak homestay disekitar candi..banyak angkringan yang serba murah dan enak disini, jangan lupa sempatkan menginap disekitar candi...",Bagus
Tempat yang membawa kenangan masa kecil saya saat pertama kali melihat bangunan semegah ini. Selalu menarik untuk kembali datang ke Borobudur,Bagus
Ini adalah kali 4 dalam 5 tahun terakhir saya berkunjung ke candi kuno ini. Tak pernah bosan bahkan justru selalu terkagum akan kemegahannya setiap bertandang. Sudah banyak situs warisan dunia saya kunjungi tetapi sebagai warga Indonesia entah kenapa saya selalu bangga akan keberadaan candi ini. Suatu hal yang membuat tercengang adalah keseriusan pengelola yang selalu inovatif. Banyak perbaikan di kawasan situs dan metode pengelolaaan agar selalu nyaman dikunjungi dan situs tetap terpelihara. Semoga warisan leluhur ini tetap lestari dan dapat dinikmati hingga anak cucu kelak.,Bagus
Setiap orang tentu tahu bahwa Borobudur adalah salah satu dari 7 keajaiban dunia. Bagi anda yang bukan pengagum sejarah atau peninggalan2 bersejarah tentu akan sangat bosan pergi ke sini. Tapi bagi saya ini adalah saatnya menyegarkan kembali ingatan saya terhadap keajaiban yang telah dilakukan oleh nenek moyang. Bagi anda orang asia saya sarankan untuk berkunjung ke Borobudur pagi sekali dan menjelang siang anda mulai memasuki musium yang ada di samping bawah candi. Sebab ruang terbuka dan terik matahari mulai menyengat pada pukul 09.30 pagi. Atau anda memasuki areal candi pada jam 1 siang dan memulai tur anda dari musium dan setelah pukul 3 sore anda baru mulai menaiki candi. Namun anda yang berasal dari eropa atau amerika utara saya yakin anda ke Borobudur adalah untuk mencari sinar matahari dan cuaca hangat. Makan jam berapapun anda ingin berkunjung tidak ada masalah yang berarti bagi anda.,Bagus
"Candi yang sempat dinyatakan hilang dari peradaban ini memang candi yang sangat mempesona & tidak pernah bosan untuk dikunjungi beberapa kali. Candi Budha terbesar di dunia ini memiliki arsitektur yang mengagumkan & indah. Saya berkunjung kesana sekitar jam 4an sore, udara sudah sejuk & pengunjung tidak terlalu ramai. ketika saya sampai ada beberapa rombongan dari luar negeri yang sedang melakukan ritual keagamaan di stupa paling atas. Saya menyarankan agar tidak duduk- duduk dipelataran stupa besar yang paling atas, karena stupa tersebut digunakan untuk acara keagamaan. Jika berkunjung ke Jogja, ke Candi Borobudur adalah hal yang wajib dilakukan. Saran saya jangan datang terlalu sore karena borobudur tutup sekitar jam 5/ setengah 6 sore. kalau anda berkunjung pada siang hari, saya sarankan memakai topi karena matahari sangat menyengat.",Bagus
"Sama seperti ke prambanan, saya tidak pernah bosan untuk datang kembali ke Candi Borobudur.Yang belum kesampaian adalah menikmati matahari terbit dari sekitar area sini.with wife,27 Dec 2017",Bagus
